age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[39 - 41], 13, 40, *, United-States, *, White, Not-in-family, bureaucracy, <=50K, Never-married
[39 - 41], 13, 40, *, United-States, *, White, Not-in-family, bureaucracy, <=50K, Divorced
50, 13, [13 - 24], *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
50, 13, [13 - 24], *, United-States, Male, White, Husband, *, <=50K, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Divorced
38, 9, 40, Private, United-States, Male, White, Not-in-family, manual-labor, <=50K, Never-married
53, 7, 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53, 7, 40, Private, America, Male, *, *, manual-labor, <=50K, Never-married
28, 13, 40, Private, America, Female, Black, *, services, <=50K, Married-civ-spouse
28, 13, 40, Private, America, Female, Black, *, services, <=50K, Never-married
[37 - 44], 14, 40, Private, United-States, Female, White, *, Exec-managerial, <=50K, Married-civ-spouse
[37 - 44], 14, 40, Private, United-States, Female, White, *, Exec-managerial, <=50K, Divorced
49, [5 - 6], [16 - 24], Private, America, Female, *, *, Other-service, <=50K, Married-spouse-absent
49, [5 - 6], [16 - 24], Private, America, Female, *, *, Other-service, <=50K, Married-civ-spouse
52, 9, [45 - 50], Self, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
52, 9, [45 - 50], Self, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
31, 14, 50, Private, United-States, Female, White, *, Prof-specialty, *, Never-married
31, 14, 50, Private, United-States, Female, White, *, Prof-specialty, *, Married-civ-spouse
42, 13, 40, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
42, 13, 40, Private, United-States, Male, White, Husband, Exec-managerial, >50K, Married-civ-spouse
37, 10, 80, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
37, 10, 80, Self, *, Male, *, Husband, Exec-managerial, >50K, Married-civ-spouse
30, 13, 40, State-gov, *, Male, *, Husband, Prof-specialty, >50K, Married-civ-spouse
30, 13, 40, State-gov, *, Male, *, Husband, Prof-specialty, >50K, Married-civ-spouse
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, *, bureaucracy, <=50K, Never-married
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, *, bureaucracy, <=50K, Never-married
[32 - 34], 12, 50, Private, United-States, *, Black, *, Sales, <=50K, Never-married
[32 - 34], 12, 50, Private, United-States, *, Black, *, Sales, <=50K, Divorced
34, 4, 45, Private, Central-America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 4, 45, Private, Central-America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
25, 9, 35, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25, 9, 35, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Married-civ-spouse
[38 - 39], [7 - 8], 50, *, United-States, Male, White, Husband, services, <=50K, Married-civ-spouse
[38 - 39], [7 - 8], 50, *, United-States, Male, White, Husband, services, <=50K, Married-civ-spouse
[43 - 44], 14, 45, Self, United-States, Female, *, Unmarried, Exec-managerial, *, Divorced
[43 - 44], 14, 45, Self, United-States, Female, *, Unmarried, Exec-managerial, *, Divorced
[40 - 41], 16, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
[40 - 41], 16, 60, Private, United-States, Male, White, Husband, Prof-specialty, >50K, Married-civ-spouse
54, 9, 20, Private, United-States, *, Black, *, *, <=50K, Separated
54, 9, 20, Private, United-States, *, Black, *, *, <=50K, Married-civ-spouse
35, 5, [40 - 43], *, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
35, 5, [40 - 43], *, United-States, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
43, [7 - 9], 40, Private, United-States, Male, White, Husband, manual-labor, <=50K, Married-civ-spouse
43, [7 - 9], 40, Private, United-States, Male, White, Husband, manual-labor, <=50K, Married-civ-spouse
59, 9, 40, *, United-States, *, White, *, services, <=50K, Divorced
59, 9, 40, *, United-States, *, White, *, services, <=50K, Married-civ-spouse
[56 - 57], 13, 40, Gov, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
[56 - 57], 13, 40, Gov, United-States, Male, *, Husband, services, >50K, Married-civ-spouse
[19 - 21], 9, 40, Private, United-States, Male, White, Own-child, manual-labor, <=50K, Never-married
[19 - 21], 9, 40, Private, United-States, Male, White, Own-child, manual-labor, <=50K, Never-married
39, 9, 80, Private, United-States, Male, White, Not-in-family, *, <=50K, Divorced
39, 9, 80, Private, United-States, Male, White, Not-in-family, *, <=50K, Divorced
49, 9, 40, Private, United-States, Male, White, Husband, manual-labor, <=50K, Married-civ-spouse
49, 9, 40, Private, United-States, Male, White, Husband, manual-labor, <=50K, Married-civ-spouse
[23 - 24], 12, 52, Gov, United-States, Male, White, *, Protective-serv, <=50K, Never-married
[23 - 24], 12, 52, Gov, United-States, Male, White, *, Protective-serv, <=50K, Married-civ-spouse
