age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[39 - 41], 13, 40, *, United-States, *, White, Not-in-family, *, <=50K, Never-married
[39 - 41], 13, 40, *, United-States, *, White, Not-in-family, *, <=50K, Divorced
[39 - 41], 13, 40, *, United-States, *, White, Not-in-family, *, <=50K, Married-spouse-absent
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Divorced
38, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, *, manual-labor, <=50K, Never-married
53, [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
53, [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Never-married
53, [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[28 - 31], 13, 40, Private, America, Female, Black, *, services, <=50K, Married-civ-spouse
[28 - 31], 13, 40, Private, America, Female, Black, *, services, <=50K, Separated
[28 - 31], 13, 40, Private, America, Female, Black, *, services, <=50K, Never-married
[37 - 44], 14, 40, Self, United-States, Female, *, *, Exec-managerial, <=50K, Married-civ-spouse
[37 - 44], 14, 40, Self, United-States, Female, *, *, Exec-managerial, <=50K, Divorced
[37 - 44], 14, 40, Self, United-States, Female, *, *, Exec-managerial, <=50K, Divorced
[49 - 59], [5 - 6], [16 - 30], *, America, Female, *, *, Other-service, <=50K, Married-spouse-absent
[49 - 59], [5 - 6], [16 - 30], *, America, Female, *, *, Other-service, <=50K, Widowed
[49 - 59], [5 - 6], [16 - 30], *, America, Female, *, *, Other-service, <=50K, Married-civ-spouse
[52 - 58], 9, [45 - 50], Self, United-States, Male, White, Husband, bureaucracy, >50K, Married-civ-spouse
[52 - 58], 9, [45 - 50], Self, United-States, Male, White, Husband, bureaucracy, >50K, Married-civ-spouse
[52 - 58], 9, [45 - 50], Self, United-States, Male, White, Husband, bureaucracy, >50K, Married-civ-spouse
[31 - 33], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Never-married
[31 - 33], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[31 - 33], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
42, 13, 40, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 13, 40, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
42, 13, 40, Private, United-States, Male, White, Husband, *, >50K, Married-civ-spouse
[37 - 39], 10, 80, Self, *, Male, *, *, Exec-managerial, *, Married-civ-spouse
[37 - 39], 10, 80, Self, *, Male, *, *, Exec-managerial, *, Divorced
[37 - 39], 10, 80, Self, *, Male, *, *, Exec-managerial, *, Married-civ-spouse
30, 13, 40, *, *, Male, *, Husband, services, *, Married-civ-spouse
30, 13, 40, *, *, Male, *, Husband, services, *, Married-civ-spouse
30, 13, 40, *, *, Male, *, Husband, services, *, Married-civ-spouse
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, *, *, <=50K, Never-married
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, *, *, <=50K, Never-married
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, *, *, <=50K, Never-married
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, services, <=50K, Never-married
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, services, <=50K, Divorced
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, services, <=50K, Married-civ-spouse
34, 4, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 4, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
34, 4, 45, *, America, Male, *, Husband, manual-labor, <=50K, Married-civ-spouse
25, 9, 35, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25, 9, 35, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
25, 9, 35, Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Never-married
32, 9, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Married-civ-spouse
32, 9, 40, Private, United-States, Male, White, *, Machine-op-inspct, <=50K, Separated
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Husband, services, <=50K, Married-civ-spouse
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Husband, services, <=50K, Married-civ-spouse
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Husband, services, <=50K, Married-civ-spouse
