age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Never-married
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Divorced
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Divorced
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Never-married
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Married-spouse-absent
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Never-married
[39 - 46], 13, [40 - 42], *, United-States, *, White, *, *, <=50K, Divorced
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[50 - 56], 13, [13 - 40], *, America, Male, White, Husband, *, *, Married-civ-spouse
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Divorced
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Married-civ-spouse
[38 - 39], 9, 40, *, United-States, Male, White, *, *, *, Never-married
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Never-married
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Married-civ-spouse
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Separated
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Never-married
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Never-married
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Never-married
[28 - 33], 13, 40, Private, *, *, *, *, *, <=50K, Never-married
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Divorced
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Divorced
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Widowed
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Never-married
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
[37 - 47], 14, 40, *, United-States, *, *, *, *, <=50K, Married-civ-spouse
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Married-spouse-absent
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Married-civ-spouse
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Widowed
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Divorced
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Married-civ-spouse
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Married-civ-spouse
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Husband, *, *, Married-civ-spouse
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Never-married
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[31 - 35], 14, 50, Private, United-States, *, White, *, Prof-specialty, *, Married-civ-spouse
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Married-civ-spouse
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Married-civ-spouse
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Married-civ-spouse
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Married-civ-spouse
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Married-civ-spouse
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Divorced
[42 - 43], 13, [40 - 45], *, United-States, *, *, *, *, *, Married-civ-spouse
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Married-civ-spouse
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Divorced
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Married-civ-spouse
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Married-civ-spouse
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Divorced
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Married-civ-spouse
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, Married-civ-spouse
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Married-civ-spouse
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Married-civ-spouse
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Married-civ-spouse
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Divorced
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Married-civ-spouse
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Married-civ-spouse
[30 - 36], 13, 40, *, *, *, *, *, *, >50K, Married-civ-spouse
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[23 - 26], 13, [30 - 40], Private, United-States, *, White, *, *, <=50K, Never-married
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Never-married
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Married-civ-spouse
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Separated
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Married-civ-spouse
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Never-married
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Divorced
[32 - 42], [12 - 13], 50, Private, *, *, *, *, services, <=50K, Married-civ-spouse
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Married-civ-spouse
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Married-civ-spouse
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Married-civ-spouse
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Married-civ-spouse
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Never-married
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Married-civ-spouse
[34 - 40], [4 - 5], 45, *, America, Male, *, *, *, *, Married-civ-spouse
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Married-civ-spouse
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
[25 - 28], 9, [35 - 40], Self, United-States, Male, White, *, manual-labor, <=50K, Never-married
