age, education-num, hours-per-week, workclass, native-country, sex, race, relationship, occupation, income, marital-status
[39 - 43], 13, [40 - 42], *, United-States, *, White, Not-in-family, *, <=50K, Never-married
[39 - 43], 13, [40 - 42], *, United-States, *, White, Not-in-family, *, <=50K, Divorced
[39 - 43], 13, [40 - 42], *, United-States, *, White, Not-in-family, *, <=50K, Never-married
[39 - 43], 13, [40 - 42], *, United-States, *, White, Not-in-family, *, <=50K, Married-spouse-absent
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
50, 13, [13 - 40], *, United-States, Male, White, Husband, *, *, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, *, manual-labor, *, Divorced
38, 9, 40, Private, United-States, Male, White, *, manual-labor, *, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, *, manual-labor, *, Married-civ-spouse
38, 9, 40, Private, United-States, Male, White, *, manual-labor, *, Never-married
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Never-married
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Married-civ-spouse
[53 - 54], [7 - 9], 40, Private, America, Male, *, *, manual-labor, <=50K, Divorced
[28 - 31], 13, 40, Private, *, *, Black, *, *, <=50K, Married-civ-spouse
[28 - 31], 13, 40, Private, *, *, Black, *, *, <=50K, Separated
[28 - 31], 13, 40, Private, *, *, Black, *, *, <=50K, Never-married
[28 - 31], 13, 40, Private, *, *, Black, *, *, <=50K, Never-married
[37 - 44], 14, 40, Self, United-States, *, *, *, *, <=50K, Married-civ-spouse
[37 - 44], 14, 40, Self, United-States, *, *, *, *, <=50K, Divorced
[37 - 44], 14, 40, Self, United-States, *, *, *, *, <=50K, Divorced
[37 - 44], 14, 40, Self, United-States, *, *, *, *, <=50K, Married-civ-spouse
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, <=50K, Married-spouse-absent
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, <=50K, Widowed
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, <=50K, Married-civ-spouse
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, <=50K, Married-civ-spouse
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Husband, *, >50K, Married-civ-spouse
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Husband, *, >50K, Married-civ-spouse
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Husband, *, >50K, Married-civ-spouse
