age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[50 - 53], 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 53], 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 53], 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 53], 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[50 - 53], 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[53 - 55], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 55], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 55], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, >50K
[53 - 55], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 55], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[28 - 31], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, *, *, *, *, <=50K
[37 - 38], [14 - 15], 40, *, *, *, White, *, *, *, <=50K
[37 - 38], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 38], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 38], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 38], [14 - 15], 40, *, *, *, White, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, >50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 58], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[37 - 39], [10 - 13], 80, Self, *, Male, *, *, *, *, >50K
[37 - 39], [10 - 13], 80, Self, *, Male, *, *, *, *, <=50K
[37 - 39], [10 - 13], 80, Self, *, Male, *, *, *, *, >50K
[37 - 39], [10 - 13], 80, Self, *, Male, *, *, *, *, <=50K
[37 - 39], [10 - 13], 80, Self, *, Male, *, *, *, *, >50K
[30 - 34], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[30 - 34], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[30 - 34], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[30 - 34], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[30 - 34], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[32 - 38], [12 - 13], 50, Private, *, *, *, *, *, services, <=50K
[32 - 38], [12 - 13], 50, Private, *, *, *, *, *, services, <=50K
[32 - 38], [12 - 13], 50, Private, *, *, *, *, *, services, <=50K
[32 - 38], [12 - 13], 50, Private, *, *, *, *, *, services, <=50K
[32 - 38], [12 - 13], 50, Private, *, *, *, *, *, services, >50K
[34 - 40], [4 - 5], 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, >50K
[34 - 40], [4 - 5], 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[25 - 26], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
[25 - 26], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
[25 - 26], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
[25 - 26], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
[25 - 26], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, *, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, *, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, *, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, *, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, *, Never-married, *, manual-labor, <=50K
[38 - 41], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 41], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 41], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 41], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 41], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[43 - 49], 14, [45 - 50], Self, United-States, *, *, *, *, *, >50K
[43 - 49], 14, [45 - 50], Self, United-States, *, *, *, *, *, <=50K
[43 - 49], 14, [45 - 50], Self, United-States, *, *, *, *, *, <=50K
[43 - 49], 14, [45 - 50], Self, United-States, *, *, *, *, *, <=50K
[43 - 49], 14, [45 - 50], Self, United-States, *, *, *, *, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[54 - 65], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 65], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 65], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 65], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 65], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, >50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, >50K
[56 - 62], [13 - 14], 40, *, America, Male, *, Married-civ-spouse, Husband, services, >50K
[56 - 62], [13 - 14], 40, *, America, Male, *, Married-civ-spouse, Husband, services, >50K
[56 - 62], [13 - 14], 40, *, America, Male, *, Married-civ-spouse, Husband, services, <=50K
[56 - 62], [13 - 14], 40, *, America, Male, *, Married-civ-spouse, Husband, services, >50K
[56 - 62], [13 - 14], 40, *, America, Male, *, Married-civ-spouse, Husband, services, >50K
[19 - 23], 9, 40, Private, United-States, *, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, *, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, *, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, *, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, *, *, Never-married, Own-child, manual-labor, <=50K
[49 - 52], [9 - 10], 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[49 - 52], [9 - 10], 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[49 - 52], [9 - 10], 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[49 - 52], [9 - 10], 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[49 - 52], [9 - 10], 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[23 - 27], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 27], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 27], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 27], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 27], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, >50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[45 - 47], 13, 40, *, United-States, *, White, *, *, *, <=50K
[45 - 47], 13, 40, *, United-States, *, White, *, *, *, >50K
