age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, >50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, <=50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, >50K
[50 - 56], 13, [13 - 40], *, America, Male, White, Married-civ-spouse, Husband, *, >50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, >50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, *, *, manual-labor, <=50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, >50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 58], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[28 - 33], 13, 40, Private, *, *, *, *, *, *, <=50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, <=50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, <=50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, >50K
[37 - 44], [14 - 15], 40, *, *, *, White, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, >50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
[52 - 59], 9, [45 - 50], *, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 34], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, >50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, <=50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, >50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, >50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, <=50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, >50K
[37 - 41], [10 - 14], 80, *, *, Male, *, *, *, *, >50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, >50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, >50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, >50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, <=50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, >50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, >50K
[30 - 36], 13, 40, *, *, *, *, *, *, *, >50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 26], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, <=50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, <=50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, <=50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, <=50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, >50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, <=50K
[32 - 42], [12 - 13], 50, Private, *, *, *, *, *, *, <=50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, >50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], [4 - 5], 45, *, *, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[25 - 27], 9, [35 - 40], Self, United-States, Male, White, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[32 - 36], 9, 40, Private, United-States, *, *, Never-married, *, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[38 - 43], [7 - 10], 50, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, >50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, <=50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, <=50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, >50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, <=50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, >50K
[43 - 49], 14, [45 - 50], *, United-States, *, *, *, *, *, <=50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[40 - 48], 16, 60, *, America, *, White, *, *, *, >50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[54 - 67], [9 - 11], [20 - 24], *, United-States, *, *, *, *, *, <=50K
[43 - 48], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 48], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 48], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[43 - 48], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
