age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
39, 13, [40 - 42], Gov, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K
39, 13, [40 - 42], Gov, United-States, Male, White, Never-married, Not-in-family, bureaucracy, <=50K
50, 13, [13 - 24], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, [13 - 24], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
38, [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
38, [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
28, 13, 40, Private, America, Female, Black, *, *, services, <=50K
28, 13, 40, Private, America, Female, Black, *, *, services, <=50K
37, 14, 40, Private, United-States, *, White, Married-civ-spouse, *, *, <=50K
37, 14, 40, Private, United-States, *, White, Married-civ-spouse, *, *, >50K
49, [5 - 6], [16 - 24], Private, America, Female, *, *, *, Other-service, <=50K
49, [5 - 6], [16 - 24], Private, America, Female, *, *, *, Other-service, <=50K
52, 9, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
52, 9, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
31, 14, 50, Private, United-States, Female, White, *, *, Prof-specialty, >50K
31, 14, 50, Private, United-States, Female, White, *, *, Prof-specialty, <=50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
37, 10, 80, Self, *, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K
37, 10, 80, Self, *, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K
30, 13, 40, State-gov, *, Male, *, Married-civ-spouse, Husband, Prof-specialty, >50K
30, 13, 40, State-gov, *, Male, *, Married-civ-spouse, Husband, Prof-specialty, >50K
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, Never-married, *, bureaucracy, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, Female, White, Never-married, *, bureaucracy, <=50K
[32 - 34], 12, 50, Private, United-States, *, Black, *, *, Sales, <=50K
[32 - 34], 12, 50, Private, United-States, *, Black, *, *, Sales, <=50K
[34 - 40], 4, 45, Private, Mexico, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], 4, 45, Private, Mexico, Male, *, Married-civ-spouse, Husband, manual-labor, >50K
25, 9, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, 35, Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
32, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
32, 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
[38 - 39], [7 - 8], 50, *, United-States, Male, White, Married-civ-spouse, Husband, services, <=50K
[38 - 39], [7 - 8], 50, *, United-States, Male, White, Married-civ-spouse, Husband, services, <=50K
[43 - 44], 14, 45, Self, United-States, Female, White, Divorced, Unmarried, Exec-managerial, >50K
[43 - 44], 14, 45, Self, United-States, Female, White, Divorced, Unmarried, Exec-managerial, <=50K
[40 - 41], 16, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
[40 - 41], 16, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
54, 9, 20, Private, United-States, *, Black, *, *, *, <=50K
54, 9, 20, Private, United-States, *, Black, *, *, *, <=50K
35, 5, [40 - 43], *, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
35, 5, [40 - 43], *, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
43, [7 - 9], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K
43, [7 - 9], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, manual-labor, <=50K
[59 - 60], 9, 40, Private, United-States, *, White, *, *, *, <=50K
[59 - 60], 9, 40, Private, United-States, *, White, *, *, *, >50K
[56 - 57], 13, 40, Gov, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
[56 - 57], 13, 40, Gov, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
[19 - 21], 9, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K
[19 - 21], 9, 40, Private, United-States, Male, White, Never-married, Own-child, manual-labor, <=50K
39, 9, 80, Private, United-States, Male, White, Divorced, Not-in-family, *, <=50K
