age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, Not-in-family, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, Not-in-family, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, Not-in-family, *, <=50K
[39 - 43], 13, [40 - 45], *, United-States, Male, White, *, Not-in-family, *, >50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[28 - 31], 13, 40, Private, *, *, Black, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, Black, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, Black, *, *, *, <=50K
[28 - 31], 13, 40, Private, *, *, Black, *, *, *, <=50K
[37 - 38], 14, 40, *, *, *, White, *, *, *, <=50K
[37 - 38], 14, 40, *, *, *, White, *, *, *, >50K
[37 - 38], 14, 40, *, *, *, White, *, *, *, >50K
[37 - 38], 14, 40, *, *, *, White, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[49 - 59], [5 - 6], [16 - 40], *, America, *, *, *, *, *, <=50K
[52 - 56], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 56], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[52 - 56], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, <=50K
[52 - 56], 9, [45 - 50], Self, North-America, Male, White, Married-civ-spouse, Husband, *, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[42 - 43], 13, [40 - 45], Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[42 - 43], 13, [40 - 45], Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[42 - 43], 13, [40 - 45], Private, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[42 - 43], 13, [40 - 45], Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, *, >50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, *, <=50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, *, >50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, *, <=50K
[30 - 33], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[30 - 33], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, <=50K
[30 - 33], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[30 - 33], 13, 40, *, *, Male, *, Married-civ-spouse, Husband, *, >50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[23 - 25], 13, [30 - 40], Private, United-States, *, White, Never-married, *, *, <=50K
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, *, services, <=50K
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, *, services, <=50K
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, *, services, <=50K
[32 - 34], [12 - 13], 50, Private, United-States, *, *, *, *, services, >50K
[34 - 40], 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[34 - 40], 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, >50K
[34 - 40], 4, 45, *, America, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
25, 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
25, 9, [35 - 40], Self, United-States, Male, White, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
[32 - 35], 9, 40, Private, United-States, Male, White, Never-married, *, manual-labor, <=50K
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[38 - 39], [7 - 9], 50, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[43 - 49], 14, 45, Self, United-States, *, *, *, *, Exec-managerial, >50K
[43 - 49], 14, 45, Self, United-States, *, *, *, *, Exec-managerial, <=50K
[43 - 49], 14, 45, Self, United-States, *, *, *, *, Exec-managerial, <=50K
[43 - 49], 14, 45, Self, United-States, *, *, *, *, Exec-managerial, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[40 - 48], 16, 60, Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[54 - 62], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 62], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 62], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
[54 - 62], [9 - 10], [20 - 24], Private, United-States, *, *, *, *, *, <=50K
35, 5, [40 - 43], *, America, Male, *, *, *, *, <=50K
35, 5, [40 - 43], *, America, Male, *, *, *, *, <=50K
35, 5, [40 - 43], *, America, Male, *, *, *, *, <=50K
35, 5, [40 - 43], *, America, Male, *, *, *, *, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[43 - 45], [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, <=50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, >50K
[59 - 61], 9, 40, Self, United-States, *, White, *, *, *, >50K
[56 - 57], [13 - 14], 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
[56 - 57], [13 - 14], 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, <=50K
[56 - 57], [13 - 14], 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
[56 - 57], [13 - 14], 40, *, United-States, Male, *, Married-civ-spouse, Husband, services, >50K
[19 - 23], 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
[19 - 23], 9, 40, Private, United-States, Male, *, Never-married, Own-child, manual-labor, <=50K
[49 - 55], 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[49 - 55], 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
[49 - 55], 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[49 - 55], 9, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[23 - 25], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 25], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 25], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, <=50K
[23 - 25], [12 - 13], [52 - 55], *, United-States, Male, White, *, *, *, >50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[20 - 21], 10, [44 - 45], Private, United-States, Male, *, Never-married, Own-child, *, <=50K
[45 - 47], 13, 40, *, United-States, *, White, *, *, *, <=50K
[45 - 47], 13, 40, *, United-States, *, White, *, *, *, >50K
[45 - 47], 13, 40, *, United-States, *, White, *, *, *, <=50K
[45 - 47], 13, 40, *, United-States, *, White, *, *, *, <=50K
[30 - 31], 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
[30 - 31], 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
[30 - 31], 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
[30 - 31], 10, 40, *, United-States, *, White, Married-civ-spouse, *, *, <=50K
22, 10, [15 - 24], *, United-States, Male, *, *, *, services, <=50K
22, 10, [15 - 24], *, United-States, Male, *, *, *, services, <=50K
22, 10, [15 - 24], *, United-States, Male, *, *, *, services, <=50K
22, 10, [15 - 24], *, United-States, Male, *, *, *, services, <=50K
[48 - 52], [7 - 9], [40 - 46], Private, America, *, *, *, Unmarried, *, <=50K
[48 - 52], [7 - 9], [40 - 46], Private, America, *, *, *, Unmarried, *, <=50K
[48 - 52], [7 - 9], [40 - 46], Private, America, *, *, *, Unmarried, *, <=50K
[48 - 52], [7 - 9], [40 - 46], Private, America, *, *, *, Unmarried, *, <=50K
[19 - 28], [9 - 10], 25, Private, United-States, Female, White, *, *, *, <=50K
[19 - 28], [9 - 10], 25, Private, United-States, Female, White, *, *, *, <=50K
[19 - 28], [9 - 10], 25, Private, United-States, Female, White, *, *, *, <=50K
[19 - 28], [9 - 10], 25, Private, United-States, Female, White, *, *, *, <=50K
[48 - 50], 12, 40, Self, United-States, *, White, *, *, *, <=50K
[48 - 50], 12, 40, Self, United-States, *, White, *, *, *, <=50K
[48 - 50], 12, 40, Self, United-States, *, White, *, *, *, <=50K
[48 - 50], 12, 40, Self, United-States, *, White, *, *, *, <=50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
41, 11, 40, *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[29 - 32], 11, [43 - 45], Private, United-States, Male, *, *, Not-in-family, *, <=50K
[29 - 32], 11, [43 - 45], Private, United-States, Male, *, *, Not-in-family, *, <=50K
[29 - 32], 11, [43 - 45], Private, United-States, Male, *, *, Not-in-family, *, <=50K
