age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, <=50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[39 - 45], 13, [40 - 45], *, United-States, Male, White, *, *, *, >50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, >50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, >50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, <=50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, >50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, >50K
[50 - 57], [13 - 14], [13 - 40], *, America, Male, *, Married-civ-spouse, Husband, *, >50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, >50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, >50K
[38 - 39], [9 - 10], 40, *, United-States, Male, White, *, *, *, <=50K
[53 - 60], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 60], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 60], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 60], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
[53 - 60], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, >50K
[53 - 60], [7 - 9], 40, *, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K
