age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
[39 - 43], 13, [40 - 42], *, United-States, Male, White, Never-married, Not-in-family, *, <=50K
[39 - 43], 13, [40 - 42], *, United-States, Male, White, Never-married, Not-in-family, *, <=50K
[39 - 43], 13, [40 - 42], *, United-States, Male, White, Never-married, Not-in-family, *, <=50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
50, 13, [13 - 40], *, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
[38 - 39], [9 - 10], 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
53, [7 - 9], 40, Private, United-States, Male, *, Married-civ-spouse, Husband, manual-labor, <=50K
[28 - 31], 13, 40, Private, America, Female, Black, *, *, services, <=50K
[28 - 31], 13, 40, Private, America, Female, Black, *, *, services, <=50K
[28 - 31], 13, 40, Private, America, Female, Black, *, *, services, <=50K
[37 - 38], 14, 40, *, *, *, White, Married-civ-spouse, *, *, <=50K
[37 - 38], 14, 40, *, *, *, White, Married-civ-spouse, *, *, >50K
[37 - 38], 14, 40, *, *, *, White, Married-civ-spouse, *, *, >50K
[49 - 59], [5 - 6], [16 - 30], *, America, Female, *, *, *, Other-service, <=50K
[49 - 59], [5 - 6], [16 - 30], *, America, Female, *, *, *, Other-service, <=50K
[49 - 59], [5 - 6], [16 - 30], *, America, Female, *, *, *, Other-service, <=50K
52, 9, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
52, 9, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, *, <=50K
52, 9, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, >50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
[31 - 33], 14, 50, Private, United-States, *, White, *, *, Prof-specialty, <=50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
42, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, Exec-managerial, >50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, Exec-managerial, <=50K
[37 - 39], 10, 80, Self, *, Male, *, *, *, Exec-managerial, >50K
