age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 13
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 9
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 10
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 12
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 13
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 5
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 9
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 9
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 7
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 13
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 10
[28 - 30], 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 13
[28 - 30], 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
[28 - 30], 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 9
[28 - 30], 40, Private, America, *, *, Married-civ-spouse, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 14
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 9
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
[31 - 33], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
[31 - 33], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
[31 - 33], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
[31 - 33], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 13
[42 - 44], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
[42 - 44], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
[42 - 44], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
[42 - 44], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
[37 - 39], 80, Self, *, Male, *, *, *, Exec-managerial, *, 10
[37 - 39], 80, Self, *, Male, *, *, *, Exec-managerial, *, 9
[37 - 39], 80, Self, *, Male, *, *, *, Exec-managerial, *, 10
[37 - 39], 80, Self, *, Male, *, *, *, Exec-managerial, *, 13
[30 - 31], 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 13
[30 - 31], 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 13
[30 - 31], 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 4
[30 - 31], 40, *, *, Male, *, Married-civ-spouse, Husband, *, *, 13
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 13
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 10
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 10
23, 30, Private, America, *, White, Never-married, Own-child, *, <=50K, 10
[32 - 34], 50, Private, United-States, Male, *, *, *, *, *, 12
[32 - 34], 50, Private, United-States, Male, *, *, *, *, *, 10
[32 - 34], 50, Private, United-States, Male, *, *, *, *, *, 14
[32 - 34], 50, Private, United-States, Male, *, *, *, *, *, 10
[34 - 36], 45, Private, *, Male, *, *, *, *, <=50K, 4
[34 - 36], 45, Private, *, Male, *, *, *, *, <=50K, 13
[34 - 36], 45, Private, *, Male, *, *, *, *, <=50K, 9
[34 - 36], 45, Private, *, Male, *, *, *, *, <=50K, 12
[25 - 27], 35, *, United-States, *, White, Never-married, *, *, <=50K, 9
