age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 13
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 10
39, [40 - 42], *, United-States, Male, White, *, Not-in-family, *, <=50K, 12
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 13
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 5
[50 - 54], [13 - 20], Self, America, *, *, *, *, *, <=50K, 9
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 9
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 10
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, manual-labor, <=50K, 10
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 7
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 13
53, 40, Self, United-States, Male, *, Married-civ-spouse, Husband, *, <=50K, 9
[28 - 30], 40, Private, America, Female, *, Married-civ-spouse, Wife, *, <=50K, 13
[28 - 30], 40, Private, America, Female, *, Married-civ-spouse, Wife, *, <=50K, 9
[28 - 30], 40, Private, America, Female, *, Married-civ-spouse, Wife, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 14
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
37, 40, *, United-States, Female, White, *, *, *, <=50K, 10
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
52, [45 - 50], Self, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
[31 - 32], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
[31 - 32], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 14
[31 - 32], 50, Private, United-States, *, White, *, *, Prof-specialty, *, 13
[42 - 43], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
[42 - 43], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 10
[42 - 43], 40, Private, United-States, Male, White, Married-civ-spouse, Husband, *, >50K, 13
[37 - 38], 80, Self, *, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
[37 - 38], 80, Self, *, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
[37 - 38], 80, Self, *, Male, *, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
30, 40, *, *, Male, *, Married-civ-spouse, Husband, services, *, 13
30, 40, *, *, Male, *, Married-civ-spouse, Husband, services, *, 13
30, 40, *, *, Male, *, Married-civ-spouse, Husband, services, *, 13
23, 30, Private, United-States, *, White, Never-married, Own-child, *, <=50K, 13
23, 30, Private, United-States, *, White, Never-married, Own-child, *, <=50K, 10
23, 30, Private, United-States, *, White, Never-married, Own-child, *, <=50K, 10
[32 - 33], 50, Private, United-States, Male, *, *, *, *, <=50K, 12
[32 - 33], 50, Private, United-States, Male, *, *, *, *, <=50K, 14
[32 - 33], 50, Private, United-States, Male, *, *, *, *, <=50K, 10
[34 - 36], 45, Private, *, Male, *, Married-civ-spouse, Husband, *, <=50K, 4
[34 - 36], 45, Private, *, Male, *, Married-civ-spouse, Husband, *, <=50K, 13
[34 - 36], 45, Private, *, Male, *, Married-civ-spouse, Husband, *, <=50K, 12
[25 - 26], 35, Self, United-States, *, White, Never-married, *, *, <=50K, 9
[25 - 26], 35, Self, United-States, *, White, Never-married, *, *, <=50K, 9
